연번,지자체명,세부사업명,예산(백만원)
288,경남,경남콘텐츠기업지원센터운영(국가직접지원),1000.0
289,경남,지역서점및출판문화활성화,80.0
290,경남,경남형납품대금연동제우수기업지원사업,50.0
291,경남,병원-제조기업연계형사업화지원,100.0
292,경남,항노화소재특허기술사업화지원사업,120.0
293,경남,천연물활용건강기능성소재개발지원사업,230.0
294,경남,항노화기업성장단계별지원사업,200.0
295,경남,G-콘텐츠스타트업액셀러레이팅지원사업,150.0
296,경남,경남우주산업핵심부품국산화기술개발,160.0
297,경남,청년일경험지원사업,200.0
298,경남,원전기업수출지원컨설팅지원사업,400.0
299,경남,원전기업혁신기술개발중장기R&D지원사업,300.0
300,경남,스타트업청년채용연계사업,1.5
301,경남,중소기업청년활력사업,0.75
302,경남,청년장인프로젝트,1.125
303,경남,조선업재직자희망공제사업,3570.0
304,경남,RPC가공시설현대화지원,104.6
305,경남,벼건조저장시설지원,279.8
306,경남,상권활성화사업,1379.0
307,경남,상권르네상스사업,1379.0
308,광주,강소기업육성(전환사업),1503.628
309,광주,구조고도화자금지원,59023.554
310,광주,기업활동촉진지원,556.84
311,광주,무역인육성및통상진흥지원,103.204
312,광주,벤처기업육성자금지원,192.0
313,광주,수출진흥자금지원,5189.996
314,광주,스마트공장지원,2002.5
315,광주,여성기업생산품판로확대,32.5
316,광주,중소기업경영안정사업자금지원,5408.034
317,광주,중소기업공제사업기금지원,250.0
318,광주,중소기업지원기관운영,1899.5
319,광주,중소기업품질및기술력향상지원(전환사업),345.57
320,광주,중소유통구조개선자금지원,5841.118
321,광주,수출역량및경쟁력강화지원,256.334
322,광주,지역산업마케팅지원(전환사업),1480.0
323,광주,지역신용보증재단기본재산출연,2600.0
324,광주,창업생태계조성(전환사업),8699.108
325,광주,스타공예상품개발및일자리창출(전환사업),400.0
326,광주,공예품상품화개발및마케팅지원(전환사업),210.0
327,광주,문화콘텐츠기획창작스튜디오운영지원,900.0
328,광주,수제공방육성지원(전환사업),795.0
329,광주,투자진흥지구지정운영,992.738
330,광주,고령친화산업기반조성(전환사업),615.0
331,광주,광융합산업육성지원및홍보(전환사업),640.156
332,광주,글로벌광융합비즈니스경쟁력강화지원(전환사업),685.0
333,광주,산업화디자인프로젝트(전환사업),1000.0
334,광주,골목상권살리기지원,10441.909
335,광주,광주프랜차이즈산업육성,80.0
336,광주,소상공인지원,2036.278
337,광주,전통시장TV홍보방송지원,41.7
338,광주,전통시장시설현대화(지원)(전환사업),1316.29
339,광주,우수농식품국내외마케팅지원(전환사업),244.5
340,광주,지역소프트웨어산업진흥지원,1656.144
341,광주,식품진흥기금융자,400.0
342,광주,음식점서비스개선(지원),150.0
343,광주,마을기업육성(지원)(보조),56.0
344,광주,국제뿌리산업전시회,230.0
345,광주,빛고을로봇박람회및경진대회(전환사업),230.0
